,speaker,length,content
2021-02-09 20:00:45,비대면의 서동주,4,.명령어
2021-02-09 20:00:49,비대면의 서동주,3,.청소
2021-02-09 20:00:55,호준,5,.ㅎㅎㄹ짝
2021-02-09 20:00:59,호준,3,.휼짝
2021-02-09 20:01:00,비대면의 서동주,3,.홀짝
2021-02-09 20:01:04,비대면의 서동주,3,100
2021-02-09 20:01:06,비대면의 서동주,1,짝
2021-02-09 20:01:11,호준,2,ㅋㅋ
2021-02-09 20:01:12,비대면의 서동주,3,.홀짝
2021-02-09 20:01:14,비대면의 서동주,3,200
2021-02-09 20:01:16,비대면의 서동주,1,짝
2021-02-09 20:01:21,비대면의 서동주,2,포기
2021-02-09 20:01:22,호준,29,<:icon_91:793660307624034344>
2021-02-09 20:01:26,호준,28,<:icon_9:793660307368706119>
2021-02-09 20:01:28,비대면의 서동주,3,.지갑
2021-02-09 20:01:29,호준,29,<:icon_42:793660307246809108>
2021-02-09 20:01:32,비대면의 서동주,3,.홀짝
2021-02-09 20:01:33,호준,29,<:icon_13:793660306886754365>
2021-02-09 20:01:35,비대면의 서동주,3,100
2021-02-09 20:01:36,비대면의 서동주,1,짝
2021-02-09 20:01:42,비대면의 서동주,3,.홀짝
2021-02-09 20:01:44,비대면의 서동주,3,200
2021-02-09 20:01:46,비대면의 서동주,1,짝
2021-02-09 20:01:50,비대면의 서동주,3,.홀짝
2021-02-09 20:01:52,비대면의 서동주,3,400
2021-02-09 20:01:53,비대면의 서동주,1,짝
2021-02-09 20:02:00,비대면의 서동주,3,.홀짝
2021-02-09 20:02:01,비대면의 서동주,3,800
2021-02-09 20:02:03,비대면의 서동주,1,짝
2021-02-09 20:02:08,비대면의 서동주,3,.홀짝
2021-02-09 20:02:11,비대면의 서동주,4,1600
2021-02-09 20:02:20,비대면의 서동주,3,.지갑
2021-02-09 20:02:29,비대면의 서동주,3,.홀짝
2021-02-09 20:02:30,비대면의 서동주,4,1300
2021-02-09 20:02:31,비대면의 서동주,1,짝
2021-02-09 20:02:42,비대면의 서동주,2,포기
2021-02-09 20:02:42,호준,2,ㅁㅊ
2021-02-09 20:02:47,호준,6,돈복사버드네
2021-02-09 20:02:50,호준,5,버그네시발
2021-02-09 20:02:51,비대면의 서동주,3,.홀짝
2021-02-09 20:02:53,비대면의 서동주,3,100
2021-02-09 20:02:53,호준,4,머냐이서
2021-02-09 20:02:55,비대면의 서동주,1,짝
2021-02-09 20:03:00,비대면의 서동주,3,.홀짝
2021-02-09 20:03:01,비대면의 서동주,3,200
2021-02-09 20:03:03,비대면의 서동주,1,짝
2021-02-09 20:03:08,비대면의 서동주,3,.홀짝
2021-02-09 20:03:11,비대면의 서동주,3,400
2021-02-09 20:03:13,비대면의 서동주,1,짝
2021-02-09 20:03:18,비대면의 서동주,2,아니
2021-02-09 20:03:20,비대면의 서동주,2,반반
2021-02-09 20:03:24,비대면의 서동주,6,아니잖아~~
2021-02-09 20:03:29,비대면의 서동주,3,.홀짝
2021-02-09 20:03:30,비대면의 서동주,3,800
2021-02-09 20:03:30,호준,12,.지갑 비대면의 서동주
2021-02-09 20:03:32,비대면의 서동주,1,짝
2021-02-09 20:03:37,호준,8,돈삭제버그 ㄷㄷ
2021-02-09 20:03:39,비대면의 서동주,2,포기
2021-02-09 20:03:43,비대면의 서동주,3,.지갑
2021-02-09 20:03:48,호준,2,머냐
2021-02-09 20:03:53,호준,7,원래얼마있엇음
2021-02-09 20:03:59,비대면의 서동주,6,2800정도
2021-02-09 20:04:02,호준,3,그래?
2021-02-09 20:04:05,호준,6,그럼본전이네
2021-02-09 20:04:17,비대면의 서동주,2,ㄹㅇ
2021-02-09 20:04:19,비대면의 서동주,3,시드가
2021-02-09 20:04:21,비대면의 서동주,3,중요해
2021-02-09 20:04:30,비대면의 서동주,3,.홀짝
2021-02-09 20:04:35,비대면의 서동주,2,50
2021-02-09 20:04:39,비대면의 서동주,1,홀
2021-02-09 20:04:47,비대면의 서동주,2,포기
2021-02-09 20:04:54,비대면의 서동주,6,.홀짝 50
2021-02-09 20:04:57,비대면의 서동주,2,50
2021-02-09 20:04:58,비대면의 서동주,1,홀
2021-02-09 20:05:05,비대면의 서동주,3,.홀짝
2021-02-09 20:05:07,비대면의 서동주,3,100
2021-02-09 20:05:08,비대면의 서동주,1,홀
2021-02-09 20:05:13,비대면의 서동주,2,포기
2021-02-09 20:05:16,비대면의 서동주,3,.지갑
2021-02-09 20:05:21,비대면의 서동주,3,.홀짝
2021-02-09 20:05:23,비대면의 서동주,2,50
2021-02-09 20:05:25,비대면의 서동주,1,홀
2021-02-09 20:05:30,비대면의 서동주,3,.홀짝
2021-02-09 20:05:31,비대면의 서동주,3,100
2021-02-09 20:05:33,비대면의 서동주,1,홀
2021-02-09 20:05:39,비대면의 서동주,3,.홀짝
2021-02-09 20:05:40,비대면의 서동주,3,200
2021-02-09 20:05:41,비대면의 서동주,1,홀
2021-02-09 20:05:47,비대면의 서동주,3,.홀짝
2021-02-09 20:05:49,비대면의 서동주,3,400
2021-02-09 20:05:50,비대면의 서동주,1,홀
2021-02-09 20:05:55,비대면의 서동주,3,.홀짝
2021-02-09 20:05:59,비대면의 서동주,3,800
2021-02-09 20:06:00,비대면의 서동주,1,홀
2021-02-09 20:06:06,비대면의 서동주,2,포기
2021-02-09 20:06:10,비대면의 서동주,3,.지갑
